Username,Rating,Ulasan
Bili Bili,3 bintang,"Juni 2022 mengunjungi tempat ini, sebenarnya bagus tapi cukup inkonsisten untuk urusan kebersihannya. Ada sudut yang masih terlihat kotor, ada bagian yang terlihat cukup bersih. Makanan dan minuman yang dibawa masih boleh dibawa masuk, tapi andaikata tidak membawa, tidak perlu khawatir, karena stand makanan/minuman tertata rapi dan mudah ditemui. Untuk berkeliling, disarankan mengikuti arah panah yang terpampang di sepanjang jalan, jadi anda tidak perlu khawatir hanya berkeliling di zona itu-itu saja. Menurut informasi dari petugas, ada 5-6 kamar kecil yang tersebar di beberapa titik dan ada Musholla yang berada di dekat zona aquarium.

Tiket masuk 15 ribu Rupiah dan bisa membayar dengan metode QRIS. Saat weekend dan hari libur, tempat parkir dialihkan ke terminal terdekat."
vico chandra,5 bintang,"kebun binatang yg legendaris sejak jaman kolonial.. dulu terakhir kesini tahun 1992. dan terakhir kesini minggu lalu, ternyata sudah sangat jauh berubah. Alhamdulillah hewan-hewan sudah terlihat sehat (tidak seperti isu kemarin ketika pandemi banyak yg kelaparan dan sakit) dan jenisnya masih cukup lengkap. intinya tidak kalah utk kualitas nya dibandingkan bonbin mahal seperti di kota batu. tiket 15rb saja loh kbs ini... :)"
Halimatus S,4 bintang,"Terimakasih sudah berbenah dengan cukup baik.
kondisi kandang dan hewan bersih cukup terawat tapi perlu ditingkatkan lagi.
• harga tiket 15rb/orang
• area aquarium 20rb/orang
masyarakatnya yang kurang teredukasi dengan baik untuk tidak buang sampah sembarangan."
Della,5 bintang,"Syarat Memasuki Kebun Binatang Surabaya:
(Info dari internet 01/06/2022)
1. Pembayaran tiket masuk KBS: QRIS, Gopay, Dana, OVO, Shopeepay, Linkaja atau kartu toll Brizzi.
2. Pengunjung wajib sudah mendapatkan vaksin minimal dosis pertama dan dalam kondisi sehat.
3. Tetap menjaga protokol kesehatan dan selalu menggunakan masker.
4. Tidak boleh berkerumun dan menggelar tikar.
5. Wajib menunjukkan bukti vaksin secara fisik atau melalui aplikasi PeduliLindungi.
6. Anak dengan usia di bawah 12 tahun boleh masuk, asal tetap taat protokol kesehatan dan Wajib memakai masker atau face shield.
7. Anak dengan tinggi 85 cm berlaku harga tiket masuk normal.
8. Animal Edutainment hanya tersedia setiap hari Sabtu, Minggu dan Libur nasional.
9. Animal Story Studio tidak beroperasi di hari Jumat.
10. Semua wahana tunggang dan feeding time off sampai ada pemberitahuan selanjutnya."
vivi pariyanti (Vivi),5 bintang,"KBS kini udah makin cantik banget, banyak spot foto dan tempatnya nyaman banget.

Beberapa wahana harus bayar, dan tiket wahannya lumyan mahal sih,  karena kl ke sini kan mesti sekeluarga rame², jadi berasa sekali.

Untuk spot penjual makanan udah banyak juga, saran saya kalau mau beli makanan apalagi pas hari rame pastikan tanya harganya dengan jelas, karena sempat punya pengalaman ga enak sama penjual makanan di stand deket perahu.

Mending yg harganya tertera aja sih, itu aja kadang masih ada yg menaikkan harga."
dyndtsaurs,3 bintang,"Lokasi :
Cari di gmaps aja!

Kebersihan :
*2
Mungkin krn saat kami kunjungi, sdg Liburan anak sekoLah.

Service :
Pegawai KBBS jrg beredar (tdk pernah kami temui dalam area KBBS), kecuali bagian kebersihan & yg potong2 pohon itu Lohh..
Jd gk tau servicenya gmn?? Yg di Loket sih informatif & ramah yaaa..

Satwa :
Beruang & monyet2 kurus & gk boLeh dikasi makan (ada tanda Larangan pemberian makan), tp gk tau sih apa krn sdh berumur/memang perawakan asLinya atau mmg krn diet🥲

Harga :
Terjangkau tp Lupa brpnya.

Tetap pakai masker ya guys saat berkunjung!
Bawa minum dingin (bisa beLi disitu jg, byk yg juaL kok!) krn puanaz puoooLL..
Jangan buang sampah seenak udheL
BoLeh x ya Lempar pisang worteL gt, gk tega soaLnya🥲😇

Mon maap kaLo ada saLah kaLimat direviewnya, tp bneran jujur ini kok"
Aimmatul Khoiroh,4 bintang,"Tempat menarik yang ramah anak untuk edukasi tentang hewan. Tempatnya bersih, tertata dan asri untuk pengunjung namun tidak untuk sebagian hewan seperti gajah, jerapah dll. Perlu diperhatikan lagi untuk tempat dan makanan hewannya. Dateng di hari jumat, dan alhamdulillah didalem bonbin ada masjid yang ngadain sholat jumat jd bapak2 bisa jumatan. Kasih bintang 4 dlu, karena petugas loket di pintu masuk komodonya kurang ramah dengan pengunjung dan masih banyak tukang parkir ilegal depan bonbin yg ngarahin pengunjung untuk parkir di luar padahal didalem bonbin parkirannya masih muat. Tapi over all sudah bagus, semoga kedepannya bisa berbenah lebih baik lagi dan sukses terus untuk KBS."
Niken Larasati,4 bintang,"Ke sini waktu liburan anak-anak sekolah, rameeeeee bgt dan agak kesiangan karena cari parkir full semua untuk mobil. Untuk yang pake mobil ke sini saran saya parkir di TIJ Joyoboyo (7k per mobil) dan di sana bisa lgsg beli tiket ke kbs di lantai 2 bagian informasi secara non tunai saja (per orang 15k, hanya melayani hari Sabtu, Minggu dan libur tgl merah). Parkir di situ kira-kira jalan ke kbs cuma 5 menit aja dan legal. Untuk kbsnya sendiri luaaasss bgt dan lebih bagus serta bersih dari kunjungan terakhir saya sekitar tahun 2000an. Koleksi binatangngya juga lumayan banyak sayang rata-rata pada boci dan ngiup 🤣 banyak stall snack juga rata-rata harganya 5k-20k"
uii,5 bintang,"Kebun Binatang lumayan besar di Surabaya, harga tiket masuk 15.000 per orang, cuma skrg g bs tunai yah, pembayaran bs lwt shopee pay/LinkAja/Qris/MBanking lainnya..
Bisa seru2an sma temen & anak2 disini, sekalian ngedukasi anak2 ttg satwa'nya, banyak spot2 foto menarik, menurutq t4 yg paling adem ada di area satwa Pelikan & aquarium hehe.. tpi masuk area awuarium hrs byar tiket lgi 20.000 yah 😅 ow ya pas ksini ada area yg masih ditutup sih mungkin ad renovasi & wkt searching ad wahana2 seru ky spot gajah gtu tpi pas ksitu g ad 😅..overall seruuu'lah bwt liburan bareng  keluarga/temen..
Smoga smakin berkembang lbih baik lgi y KBS surabaya 😍"
Khusnur Rosyidah,5 bintang,"Hiburan murah buat anak biar bisa kenal satwa. Tiket weekdays nya 15rb.tutupnya jam 3.30 sore. kalo weekend saya lupa. Setahun 4x kesini weekdays terus. Heheh. Tempatkanya semakin bagus, bersih, banyak bgt spot buat foto2. Bbrpa kali di renov dikit2. Jadinya skrg tambah bagus 👍. Kalo mau ke aquarium tempat koleksi ikan2 byr lagi. Tp sy g prnh masuk sana. Naik unta, gajah, perahu byr lagi. Tp sy blm prnh 😁. Tp udah bagus banget kok skrg drpda dulu 👍"
masgoeh,5 bintang,"Tempat untuk Refresh sejenak dr kesibukan atau aktifitas hari-hari kerja bersama keluarga, masukkan dr kami, area parkir sepeda motor harus lebih di perluas & ada keterangan atau info atau plakat di posisi akan masuk wil. KBS, sbb parkir diluaran harga nya hampir sama dgn tiket masuk 1 org.
Semoga KBS lebih maju lg agar salah 1 wisata Kota Surabaya Berkembang & Berkembang Terusss..."
Syifa Diah,5 bintang,"Bersih dan terawat, lumayan buat healing tipis2. Tiket masuk 15rb/orang(bisa pakai qris). Aquarium 30rb, Parkir speda motorr 10rb. Saranku bawa makanan dari rumah, Krn di dalam lumayan mahall"
Siti Fatimah,5 bintang,"Berkunjung ke KBS hari Rabu, 10 Mei 2023. Naik kereta api dari Stasiun Kras turun di Stasiun Wonokromo dengan biaya 15k. Trus ke KBS jalan kaki kurang lebih 15 menitan, yaa kira2 1,5 km an sih. Trus tiba di depan KBS disambut patung ikonik Sura dan Baya. Pasti nanti di sana banyak yang nawarin foto langsung jadi bayar 10k aja yaa teman2.

Terus lanjut masuk ke area wisata dengan biaya 15k saja. Area wisata sangat luas. Banyak pepohonan, jadi di dalam pun alhamdulillah sejuk. Koleksi hewan juga sangat banyak. Mushola dan toilet juga ada di dalam area wisata. Bawa bekal dari rumah alhamdulillah gpp sih. Di dalam KBS juga masih ada beberapa wahana yang berbayar yaa. Ada aquarium, tunggang gajah, naik perahu, becak air, dsb."
Ifaikah Kalidin,4 bintang,"Pertama kali berkunjung bareng anak sm suami setelah 20 tahun lalu ke sini. Memorable banget. Tiket masuk murah, 15k/orang. Sistem pembelian dibagi menjadi dua, tunai & non tunai. Karena berkunjung di hari minggu yg rame banget, antrian tunai panjang banget. Untuk non tunai lengang & cukup cepat transaksinya karena bisa pakai Qris sm shopee pay.
Areanya cukup luas ya, tapi karena berkunjung di hari minggu berasa penuh & mau liat satwa mesti gantian. Ada beberapa satwa yg ga keliatan (mungkin tidur di dlm atau sdg cuti, hehe). Dulu pas ke sini sempat foto Polaroid sm gajah, sayangnya gajah ga ada, tukang foto udah digital.
Untuk masuk ke Aquarium beli tiket 30/org. Aquariumnya ga terlalu besar, ikan-ikan ada di akurium kecil. Selain itu di area ini juga ada  satwa macam ular, buaya, dll."
Paramitalaras,5 bintang,"Awalnya sy pikir KBS ini tidak terawat, teryata bagusss loh. Binatangnya banyak, fasilitasnya juga lengkap, ada kantin dan musholah. Banyak pohon jadi adem di udara surbaya yang puanass bgt. Harga tiket masuk 15rb kl ga salah.. di luar sebelum masuk parkir banyak org2 yg nawarin buat parkir di sebrang, tapi parkir di dalam cukup banyak tempat, mungkin kl weekend penuh"
Silvi N.Y,5 bintang,"Liburan kesini ketika libur Hari Raya Idul Fitri, sangat crowded Dan banyak orang, tapi tetap memadai di dalam, tempat istirahat mungkin bisa diperbanyak, para penjual makanan di dalam juga cukup banyak. Paling favorite membeli makan rusak diberi sebuah tempat dengan sticker cantik, mungkin apabila bisa di refill saja dengan harga lebih murah daripada awal saat membeli lebih baik lagi ~ next year Akan kesini lagi."
Faisal Harun (Fais),5 bintang,"Kebun binatangnya bagus sekali, anak kami sangt senang ketika melihat hewan-hewan secara langsung dan nyata.

Semua hewan disini terlihat sehat semua ya, gk ada tuh yang slow respon atau kurus. Semua hewannya aktif ya terkecuali memang heean yang geraknya lambat. Hehehe

Dari pintu masuk anda akan ditawari oleh para fotografer untuk mengabadikan momen di patung buaya dan hiu putih dengan harga yang ramah, untuk tiket masuk per orang diminta 15k, setelah itu didalam jiga terdapat wahana malam jika ingin masuk maka diminta bayar juga 30k per orangnya. Di wahana malam kita dapat melihat bernahai jenis ikan baik air tawar dan asin. Dari mulai ikan terkecil sampai yang paling besar yang ada disana.

Semoga pengalaman saya ini bermanfaat untuk anda yang membaca. Trims"
Rahmi Amaliah,5 bintang,"Tiket mask 15.000
Naik unta 35.000
Tiket masuk aquarium 20.000
area bermain juga kolam ada tiket terusannya lagi. Selebihnya keliling bertemu aneka satwa sdah nggak perlu byr lagi dbeberapa titik ada area jajanan baik makanan minuman maupun oleh2 cendramata. Dan tolong diingat ya tolong sampah dibuang ke tempat sampah demi kenyamanan bersama dan juga keberlangsungan satwa KBS. Oiya ada toilet dkt arena bemain 2000.😊

Jalan2 menikmati liburan sembari belajar KBS paling ramah dikantong."
Nurul Patmawati,5 bintang,"Tempatnya bersih, sekitar 2 tahun lalu kesini masuk aquarium yg ikan2 gratis hehe. Sekarang bayar 20ribu kalo ndak salah. Untuk tiket masuk pastinya murah banget 15ribu. Ada banyak jajanan di dalem, klo mau lebih hemat bisa bekal siii. Tp di dalam banyak bgt jajanan hehee . Rekomended bgt"
Mbak Ifa,5 bintang,"Binatangnya sudah jauh lebih terawat, sehat. Lokasi bersih, rindang, nyaman. Biaya masuk Rp 15.000 untuk dewasa dan anak diatas 85cm.

Hanya saja untuk area akuarium (ikan dan reptil) harus berbayar lagi Rp 20.000 per orang.  Mungkin karena biaya masuk ga terlalu mahal. Jadi pake skema mau lihat lebih, bayar lagi.

Saran, masuk di hari kerja misal senin - jumat saja. Karena itupun sudah ramai. Biar nyaman menikmati lihat binatang."
POTRET KEHIDUPAN,2 bintang,"First Time KBS enter :

Tampilan dari luar biasa biasa aja sama pada umumnya kebun binatang namun yang membuat kaget tiket masuknya yang terbilang mahal untuk sekelas kebun binatang, contoh di kebun binatang ragunan Jakarta hanya mematok harga Rp 6000. Lalu ada sebuah bangunan seperti ruangan untuk Aquarium mematok harga 30.000 ini termasuk sangat mahal jika jika sendiri ini termasuk mahal untuk sekelas ke kebun binatang lalu belum makan minum

Saat masuk tiket masuk yang sebagai bukti masuk di ambil oleh petugas saat di gate in, agak membingungkan dan sempat ter capture

Memang saya akui ini for educational.

Lalu dari geografis KBS sangat kecil kurang luas dari data yang saya dapat hanya berukuran 15 hektare namun di paksakan untuk kebun binatang dan satwa yang di perlihatkan yang paling mendominasi burung, hanya ada beberapa satwa yang terkenal seperti monyet atau jerapah lalu anoa lalu harimau ada bekantan, orang utan, Simpson, unta, rusa, kuda nil, gajah

Lalu untuk stand stand food court tidak beraturan dan tersebar di seluruh spot spot yang seharusnya bisa di jadikan tempat hewan lain yang belum tersedia di KBS ini

Ada spot yang seperti tidak di urus sehingga menimbulkan bau menyengat dan di spot inilah ada break spot, stand stand food court

Coba di repair lagi penataannya terus satwanya diurus percuma tiket masuk nya mahal"
Write With Afina,5 bintang,"Salah satu kebun binatang tertua di Indonesia yang masih bertahan sampai sekarang. KBS sudah melakukan banyak renovasi untuk kadang satwa dan bagian lainnya, sekarang juga sudah banyak spot-spot tempat foto, tempatnya tidak terlalu luas, akan tetapi sangat nyaman dan harga tiketnya sangat terjangkau, hanya Rp 15.000
Semoga koleksi satwanya bertambah lagi. Cocok sekali untuk tempat rekreasi bersama keluarga, terutama yang masih punya anak balita atau usia sekolah, mereka pasti suka."
izaaa,5 bintang,"Berangkat naik kereta api turun pasar turi kemudian grab ke kebun binatang yng lumayan dekat. Sampai di tempat lngsung beli tiket dan masuk, banyak sekali hewan² dan tempat yang cukup luas + asri. Hanya saja peta nya kurang memberi informasi, banyak sekali penjual di dalam jadi tidak takut lapar dan haus, harganya ya standart orng jual di tempat rekreasi. Fasilitas lumayan seperti masjid yng bisa charger hp grtis, toiletnya berbayar, dan akses wifi tidak semua tempat ada"
Ella Kurnia Oktaverina,4 bintang,"Tempat yang bagus untuk mengajak anak-anak kecil lebih mengenal flora dan fauna (khususnya satwa). Area cukup luas walau beberapa spot tidak terawat. Asyik banget buat piknik karena banyak pohon yang meneduhkan, meski yaaa namanya juga Surabaya, panas mah tetep 🤭"
Ki Sungging,5 bintang,"Alhamdulillah, baru pertama kali mengajak cucu setelah masa pandemi.
Rupanya Kebun binatang setelah pandemi berbenah diri. Kebun binatang sekarang cukup bagus. Cocok untuk edukasi. Tidak kalah dengan tempat wisata yg lain. Dan dengan tiket masuk terbilang sangat murah. Dibandingkan dengan tempat wisata yg lain. Dan sekali lagi, cocok sekali untuk merperkenalkan beberapa hewan  kepada anak cucu kita."
Tiffani Istiqina,5 bintang,"Lama gak ke KBS, terakhir mampir kelas 6 SD 😅
Banyak spot foto nya sekarang.
Weekdays ke sini aja rame lho, apalagi weekend.
Harga tiket terjangkau banget. Tapi kurang tau ya, yang selihatku kok ada beberapa cage yang gak berpenghuni. Kalau mau masuk aquarium sepertinya bayar lagi ya.
Paling banyak di sini spesies primata. Gajahnya juga sepertinya udah senior tuh.
Semoga semua satwa di KBS sejahtera dan sehat-sehat seperti penghuni zoo kota sebelah 🐅"
Shan Ufuk Timur,5 bintang,"Tempatnya bagus, tiket 15rb, buka jam 8 tepat, luas, hewannya cukup banyak. Ada wisata airnya juga. Seru sih cuma gak ada transportasi di dalem buat keliling jadi buat yang bawa anak jangan lupa bawa strollernya."
Ferly_Erlin Santi,5 bintang,"HTM Week Day 20.000
Unt anak² usia 2th dan tinggi min 85 cm sudah dikenakan biaya.

KBS skrng jauh lebih baik, ndak ada lagi bau² tak sedap, lebih bersih, asri dan hijau.
Tertata dg baik.
Meski koleksi hewannya tak sebanyak dulu, tp cukup unt edukasi anak²."
Nurul Fadila,1 bintang,"Kesini kemaren tanggal 9 bulan desember 2022 tepatnya hari jumat,jam 10 pagi niat hati nyenengin anak krn suami libur kerja,baru masuk aja sudah judess bagian tiket yg dekat parkir sepedah motor bilang pake uang pas ga ada kembalian,disini kalo kita ga kesana km ya ga dapat bayaran jangan songong jadi org tugasmu buat pelayanan melayani sepenuh hati sebagai konsumen saya tidak trima dibentak bgtu untung mukamu ga saya post pengen tak buat viral,pelayanan tidak memuaskan kalo gamau kerja bilang gausah kerja tdur dirumah,menjelekan wisata surabaya aja.hewannya kasian sangat kurus ,banyak hewan kepanasan tdk terawat primata yg waktu saya sd kesna tidak ada cntohnya orang utan,singa,bnyak yg hilang dikandangnya tempat yg teduh hanya untuk manusia saja,tukang foto juga maksa banget,kasian yg niatnya liburan disni zonk kodisi hewan menghawatirkan bisa liat difoto gajahnya kepanasan ,jerapahnya kurus,keranya juga sangat panas,tolong dirimbunkan lagi tumbuh²anya agar mereka tidak kepanasan seperti saya berkunjung waktu sd dlu."
Chrysta Nahuwaiy,5 bintang,"After pandemic mungkin berdampak ya untuk tempat ini, but overall tempatnya bagus karena banyak binatang yang bisa kita lihat. Toilet disini berbayar Rp 2.000 tapi bersih dan wangi loh. Bintang2 disini tetap terawat loh, mantap!! Biaya masuk disini Rp 15.000 / orang dimana ketentuannya diatas 85cm tinggi badannya sudah berbayar ya."
Nurdiana S Setiawati,5 bintang,"Tempat Liburan bagi keluarga dengan harga terjangkau, kebersihan terjamin. Untuk saat ini kebum binatang Surabaya sudah banyak berubah, sudah lebih bersih,lebih tertata rapi dari sebelumnya. Dan bangunan²yang tahun 2022 masih dibangun ditahun 2023 ini sudah dibuka. Walaupun ada beberapa kandang hewan yang kosong. Semoga kedepannya lebih rapi dan lebih sukses seperti masa jayanya dulu🙏🏻"
Pasca Brawijayanti,5 bintang,"Baru tanggal 24 nopember 2022 kmrn ada kegiatan outing class anak dari PAUD Tunas Pelangi Bluru Kidul Sidoarjo ke KBS.
Maen seru-seruan krn guide dari travel yg seru n g bosenin, maen tangkap ikan dg kedua tangan dan menanam tanaman (bahan"" Dipersiapkan oleh pihak travel yaa bukan dari KBS)
Baru setelah sesi tangkap ikan n tanam tanaman, rombongan berkeliling ke area hewan"" KBS.
Senang donk...
Anak-anak ceria, sungguh menyenangkan, sudah lumayan bersih dan g seberapa bau spt bbrp thn lalu, untuk area jajanan sip lah, kebersihan Ok, petugas kebersihan nya gercep bersihin sampah kok, toilet juga bersih"
